Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148923,B08,BRD-K70327167-348-13-4,14.35218,14352.18,10.0,10000.0,0.04,40,DMSO,1435.218,1296.046905756
BR00148923,B09,BRD-K17219082-001-01-1,3.57341,3573.41,10.0,10000.0,0.04,40,DMSO,357.341,357.041941167
BR00148923,B10,BRD-K44227013-001-15-9,5.325595,5325.595,10.0,10000.0,0.04,40,DMSO,532.5595,532.219844131
BR00148923,B11,BRD-K42090719-001-07-3,1.63387,1633.87,10.0,10000.0,0.04,40,DMSO,163.387,161.904212397
BR00148923,B12,BRD-A43671941-003-14-9,3.0181,3018.1,10.0,10000.0,0.04,40,DMSO,301.81,265.167793605
BR00148923,B13,BRD-A18924964-065-02-3,12.53512,12535.12,10.0,10000.0,0.04,40,DMSO,1253.512,1154.749927302
BR00148923,B14,BRD-A93255169-001-35-9,2.582295,2582.295,10.0,10000.0,0.04,40,DMSO,258.2295,258.064056818
BR00148923,B15,BRD-A64173453-015-03-1,10.79291,10792.91,10.0,10000.0,0.04,40,DMSO,1079.291,1018.440479762
BR00148923,B16,BRD-K12513978-001-26-9,2.542806,2542.806,10.0,10000.0,0.04,40,DMSO,254.2806,254.094294314
BR00148923,B17,BRD-K75864342-001-14-2,4.446481,4446.481,10.0,10000.0,0.04,40,DMSO,444.6481,444.302830524
BR00148923,B18,BRD-K00003448-001-01-9,4.095643,4095.643,10.0,10000.0,0.04,40,DMSO,409.5643,409.272927379
BR00148923,B19,BRD-K62391742-001-09-7,8.68439,8684.39,10.0,10000.0,0.04,40,DMSO,868.439,867.318095386
BR00148923,B20,BRD-K96786677-236-02-4,4.24426,4244.26,10.0,10000.0,0.04,40,DMSO,424.426,401.104541423
BR00148923,B21,BRD-K47635719-001-21-1,4.344977,4344.977,10.0,10000.0,0.04,40,DMSO,434.4977,434.210466929
BR00148923,B22,BRD-K01825010-001-03-9,5.986887,5986.887,10.0,10000.0,0.04,40,DMSO,598.6887,598.279134968
BR00148923,B23,,,,,,0.0,0,,,
BR00148923,B24,,,,,,0.04,40,DMSO,,
BR00148923,C01,,,,,,0.0,0,,,
BR00148923,C02,,,,,,0.04,40,DMSO,,
BR00148923,C03,BRD-K62971431-001-01-9,2.453169,2453.169,10.0,10000.0,0.04,40,DMSO,245.3169,245.141578857
BR00148923,C04,BRD-K36627727-001-07-9,3.514388,3514.388,10.0,10000.0,0.04,40,DMSO,351.4388,351.183443671
BR00148923,C05,BRD-A48720949-001-04-0,3.444877,3444.877,10.0,10000.0,0.04,40,DMSO,344.4877,344.23514489
BR00148923,C06,BRD-K68558722-001-04-0,3.97372,3973.72,10.0,10000.0,0.04,40,DMSO,397.372,397.070796634
BR00148923,C07,BRD-K10995081-001-28-7,4.039667,4039.667292,9.999944,9999.943787,0.04,40,DMSO,403.969,403.148510866
BR00148923,C08,BRD-K86161929-001-13-3,4.024807,4024.807,10.0,10000.0,0.04,40,DMSO,402.4807,402.204238692
BR00148923,C09,BRD-K47323024-003-29-9,2.97847,2978.47,10.0,10000.0,0.04,40,DMSO,297.847,261.129968313
BR00148923,C10,BRD-A65013509-003-24-4,3.93947,3939.47,10.0,10000.0,0.04,40,DMSO,393.947,357.230393863
BR00148923,C11,BRD-K01826746-001-07-9,3.31346,3313.46,10.0,10000.0,0.04,40,DMSO,331.346,331.062676609
BR00148923,C12,BRD-K82603084-001-04-9,2.922426,2922.426,10.0,10000.0,0.04,40,DMSO,292.2426,292.090665498
BR00148923,C13,BRD-K35520305-001-24-9,1.821832,1821.832,10.0,10000.0,0.04,40,DMSO,182.1832,182.091608972
BR00148923,C14,BRD-K04175245-001-14-9,4.43625,4436.25,10.0,10000.0,0.04,40,DMSO,443.625,443.170118567
BR00148923,C15,BRD-K63126190-001-17-9,1.832044,1832.044,10.0,10000.0,0.04,40,DMSO,183.2044,183.089543287
BR00148923,C16,BRD-A90551241-001-12-9,3.71819,3718.19,10.0,10000.0,0.04,40,DMSO,371.819,370.98012491
BR00148923,C17,BRD-K22009844-001-14-9,1.792157,1792.157,10.0,10000.0,0.04,40,DMSO,179.2157,179.094628665
BR00148923,C18,BRD-K20902145-001-03-9,2.78301,2783.01,10.0,10000.0,0.04,40,DMSO,278.301,278.013008804
BR00148923,C19,BRD-A43809092-003-04-9,2.92245,2922.45,10.0,10000.0,0.04,40,DMSO,292.245,255.138992038
BR00148923,C20,BRD-K29229654-304-06-9,4.32423,4324.23,10.0,10000.0,0.04,40,DMSO,432.423,384.044977634
BR00148923,C21,BRD-K01826560-001-22-9,3.90948,3909.48,10.0,10000.0,0.04,40,DMSO,390.948,390.186276581
BR00148923,C22,BRD-K20075662-300-04-0,1.84067,1840.67,10.0,10000.0,0.04,40,DMSO,184.067,111.079647303
BR00148923,C23,,,,,,0.0,0,,,
BR00148923,C24,,,,,,0.04,40,DMSO,,
BR00148923,D01,,,,,,0.0,0,,,
BR00148923,D02,,,,,,0.04,40,DMSO,,
BR00148923,D03,BRD-A05926236-001-05-3,5.2894,5289.4,10.0,10000.0,0.04,40,DMSO,528.94,527.154947772
BR00148923,D04,BRD-A91452556-001-06-9,3.96571,3965.71,10.0,10000.0,0.04,40,DMSO,396.571,396.266445019
BR00148923,D05,BRD-K86358349-001-01-2,3.06241,3062.41,10.0,10000.0,0.04,40,DMSO,306.241,305.077912292
BR00148923,D06,BRD-K72339976-065-05-9,6.20636,6206.36,10.0,10000.0,0.04,40,DMSO,620.636,522.110371856
BR00148923,D07,BRD-K19742012-001-01-5,2.67304,2673.04,10.0,10000.0,0.04,40,DMSO,267.304,267.067761987
BR00148923,D08,BRD-K82357231-001-21-9,3.10821,3108.21,10.0,10000.0,0.04,40,DMSO,310.821,310.123676325
BR00148923,D09,BRD-K72533376-001-01-2,6.685365,6685.365,10.0,10000.0,0.04,40,DMSO,668.5365,668.15062152
BR00148923,D10,BRD-K95161686-001-02-8,2.503334,2503.334,10.0,10000.0,0.04,40,DMSO,250.3334,250.15689457
BR00148923,D11,BRD-K02314383-001-02-9,3.06506,3065.06,10.0,10000.0,0.04,40,DMSO,306.506,306.201736272
BR00148923,D12,BRD-K01826515-003-10-9,4.09263,4092.63,10.0,10000.0,0.04,40,DMSO,409.263,408.064362488
BR00148923,D13,BRD-K00025599-001-01-9,4.945679,4945.679,10.0,10000.0,0.04,40,DMSO,494.5679,494.247995294
