gene_symbol,entrez_id,compound_id
HTR1A,3350,BRD-K08619574
HTR2A,3356,BRD-K08619574
FDPS,2224,BRD-K08681769
ADRB1,153,BRD-K08806317
ADRB2,154,BRD-K08806317
HTR3A,3359,BRD-K08924299
AKR1D1,6718,BRD-K08976401
SRD5A2,6716,BRD-K08976401
TYR,7299,BRD-K08976401
PTGS2,5743,BRD-K09090523
BLVRB,645,BRD-K09229706
DHODH,1723,BRD-K09229706
DPYD,1806,BRD-K09229706
HAO1,54363,BRD-K09229706
HAO2,51179,BRD-K09229706
MT-ND1,4535,BRD-K09229706
NOS1,4842,BRD-K09229706
PNPO,55163,BRD-K09229706
POR,5447,BRD-K09229706
PPCDC,60490,BRD-K09229706
RFK,55312,BRD-K09229706
RPS6KA4,8986,BRD-K09229706
SGK1,6446,BRD-K09229706
OPRK1,4986,BRD-K09255212
HDAC2,3066,BRD-K09416995
HMGCR,3156,BRD-K09416995
ITGAL,3683,BRD-K09416995
NR1I2,8856,BRD-K09416995
TOP2A,7153,BRD-K09471561
ANO1,55107,BRD-K09549677
CACNA1C,775,BRD-K09549677
CACNA1D,776,BRD-K09549677
CACNA1F,778,BRD-K09549677
CACNA1G,8913,BRD-K09549677
CACNA1H,8912,BRD-K09549677
CACNA1I,8911,BRD-K09549677
CACNA1S,779,BRD-K09549677
CACNB1,782,BRD-K09549677
CACNB2,783,BRD-K09549677
CACNB3,784,BRD-K09549677
CACNB4,785,BRD-K09549677
CATSPER1,117144,BRD-K09549677
CATSPER2,117155,BRD-K09549677
CATSPER3,347732,BRD-K09549677
CATSPER4,378807,BRD-K09549677
ADCY2,108,BRD-K09602097
ADCY5,111,BRD-K09602097
GNAS,2778,BRD-K09602097
CYP2B6,1555,BRD-K09631521
CYP3A4,1576,BRD-K09631521
CHRM1,1128,BRD-K09859624
HRH2,3274,BRD-K09859624
BRAF,673,BRD-K09951645
LIMK1,3984,BRD-K09951645
NEK11,79858,BRD-K09951645
RAF1,5894,BRD-K09951645
SIK1,150094,BRD-K09951645
CYP3A4,1576,BRD-K09963420
NR3C1,2908,BRD-K09968782
TOP2A,7153,BRD-K10362825
TOP2B,7155,BRD-K10362825
TUBA1A,7846,BRD-K10384176
TUBA1B,10376,BRD-K10384176
TUBA1C,84790,BRD-K10384176
TUBA3C,7278,BRD-K10384176
TUBA3D,113457,BRD-K10384176
TUBA3E,112714,BRD-K10384176
TUBA4A,7277,BRD-K10384176
TUBB,203068,BRD-K10384176
TUBB1,81027,BRD-K10384176
TUBB2A,7280,BRD-K10384176
TUBB2B,347733,BRD-K10384176
TUBB3,10381,BRD-K10384176
TUBB4A,10382,BRD-K10384176
TUBB4B,10383,BRD-K10384176
TUBB6,84617,BRD-K10384176
TUBB8,347688,BRD-K10384176
ACAT1,38,BRD-K10670311
ALOX5,240,BRD-K10670311
CHUK,1147,BRD-K10670311
IKBKB,3551,BRD-K10670311
PLA2G1B,5319,BRD-K10670311
PPARG,5468,BRD-K10670311
PTGS1,5742,BRD-K10670311
PTGS2,5743,BRD-K10670311
SLC46A1,113235,BRD-K10670311
SLC7A11,23657,BRD-K10670311
TBXAS1,6916,BRD-K10670311
DHPS,1725,BRD-K10671814
ACHE,43,BRD-K10706131
BCHE,590,BRD-K10706131
ACE,1636,BRD-K10784860
NR3C1,2908,BRD-K10799896
PLA2G1B,5319,BRD-K10799896
PTGIS,5740,BRD-K10843433
PTGS1,5742,BRD-K10843433
PTGS2,5743,BRD-K10843433
ATP6V1A,523,BRD-K10845183
MMP2,4313,BRD-K10845183
PTPN1,5770,BRD-K10845183
COMT,1312,BRD-K10852020
ADRA1A,148,BRD-K10906636
ADRA1B,147,BRD-K10906636
ADRA1D,146,BRD-K10906636
PTGFR,5737,BRD-K10961822
CALM1,801,BRD-K10995081
DRD1,1812,BRD-K10995081
DRD2,1813,BRD-K10995081
HRH1,3269,BRD-K10995081
HTR2A,3356,BRD-K10995081
HTR2C,3358,BRD-K10995081
HTR6,3362,BRD-K10995081
HTR7,3363,BRD-K10995081
LPL,4023,BRD-K11129031
PPARA,5465,BRD-K11129031
SLCO1B1,10599,BRD-K11129031
SLCO1B3,28234,BRD-K11129031
SLCO2B1,11309,BRD-K11129031
TOP2A,7153,BRD-K11196887
TYR,7299,BRD-K11227669
ALK,238,BRD-K11267252
MET,4233,BRD-K11267252
ACHE,43,BRD-K11292736
KCNJ8,3764,BRD-K11399644
PRKAA1,5562,BRD-K11399644
AKR1C1,1645,BRD-K11433652
ASIC3,9311,BRD-K11433652
EDNRA,1909,BRD-K11433652
HSPA5,3309,BRD-K11433652
IKBKB,3551,BRD-K11433652
NFKB1,4790,BRD-K11433652
NFKB2,4791,BRD-K11433652
NFKBIA,4792,BRD-K11433652
PRKAA1,5562,BRD-K11433652
PRKAA2,5563,BRD-K11433652
PRKAB1,5564,BRD-K11433652
PRKAB2,5565,BRD-K11433652
PRKAG1,5571,BRD-K11433652
PRKAG2,51422,BRD-K11433652
PRKAG3,53632,BRD-K11433652
PTGS1,5742,BRD-K11433652
PTGS2,5743,BRD-K11433652
RPS6KA3,6197,BRD-K11433652
TP53,7157,BRD-K11433652
ACE,1636,BRD-K11466259
NR3C1,2908,BRD-K11612998
TYMS,7298,BRD-K11630072
ABCC1,4363,BRD-K11717138
HRH1,3269,BRD-K11742128
COMT,1312,BRD-K12102668
MAOA,4128,BRD-K12102668
MAOB,4129,BRD-K12102668
ABCC8,6833,BRD-K12219985
KCNJ10,3766,BRD-K12219985
KCNJ11,3767,BRD-K12219985
PPARG,5468,BRD-K12219985
TUBA4A,7277,BRD-K12251893
TUBB,203068,BRD-K12251893
MAP2K1,5604,BRD-K12343256
MAP2K2,5605,BRD-K12343256
PTGS1,5742,BRD-K12513978
PTGS2,5743,BRD-K12513978
GJA1,2697,BRD-K12765235
GJA10,84694,BRD-K12765235
GJA3,2700,BRD-K12765235
GJA4,2701,BRD-K12765235
GJA5,2702,BRD-K12765235
GJA8,2703,BRD-K12765235
GJA9,81025,BRD-K12765235
GJB1,2705,BRD-K12765235
GJB2,2706,BRD-K12765235
GJB3,2707,BRD-K12765235
GJB4,127534,BRD-K12765235
GJB5,2709,BRD-K12765235
GJB6,10804,BRD-K12765235
GJB7,375519,BRD-K12765235
GJC1,10052,BRD-K12765235
GJC2,57165,BRD-K12765235
GJC3,349149,BRD-K12765235
GJD2,57369,BRD-K12765235
GJD3,125111,BRD-K12765235
GJD4,219770,BRD-K12765235
GJE1,100126572,BRD-K12765235
HSD11B1,3290,BRD-K12765235
PANX1,24145,BRD-K12765235
PANX2,56666,BRD-K12765235
PANX3,116337,BRD-K12765235
ESR1,2099,BRD-K12872829
PGR,5241,BRD-K12872829
SLC6A9,6536,BRD-K12872829
TP53,7157,BRD-K12906202
TUBB,203068,BRD-K12906202
NR3C1,2908,BRD-K12955147
CA12,771,BRD-K12994359
PTGS2,5743,BRD-K12994359
ATP1A1,476,BRD-K13044802
CA1,759,BRD-K13078532
CA12,771,BRD-K13078532
CA2,760,BRD-K13078532
CA4,762,BRD-K13078532
CA9,768,BRD-K13078532
KCNMA1,3778,BRD-K13078532
SLC12A3,6559,BRD-K13078532
CYP2B6,1555,BRD-K13112821
TRDMT1,1787,BRD-K13183738
GABRB3,2562,BRD-K13249881
CNR1,1268,BRD-K13296708
GPR55,9290,BRD-K13296708
CYP3A4,1576,BRD-K13314656
HRH1,3269,BRD-K13314656
CA1,759,BRD-K13356952
CA12,771,BRD-K13356952
CA14,23632,BRD-K13356952
CA2,760,BRD-K13356952
CA4,762,BRD-K13356952
CA7,766,BRD-K13356952
KCNH2,3757,BRD-K13414800
PDE3A,5139,BRD-K13414800
MTOR,2475,BRD-K13514097
ABCB11,8647,BRD-K13533483
CAMLG,819,BRD-K13533483
FPR1,2357,BRD-K13533483
PPIA,5478,BRD-K13533483
PPIF,10105,BRD-K13533483
PPP3CA,5530,BRD-K13533483
PPP3R2,5535,BRD-K13533483
SLC10A1,6554,BRD-K13533483
SLCO1B1,10599,BRD-K13533483
SLCO1B3,28234,BRD-K13533483
CYP3A4,1576,BRD-K13797099
LTF,4057,BRD-K13800121
HDAC1,3065,BRD-K13810148
HDAC2,3066,BRD-K13810148
HDAC3,8841,BRD-K13810148
HDAC4,9759,BRD-K13810148
HDAC5,10014,BRD-K13810148
HDAC6,10013,BRD-K13810148
HDAC7,51564,BRD-K13810148
HDAC8,55869,BRD-K13810148
HDAC9,9734,BRD-K13810148
TOP2A,7153,BRD-K13843533
TOP2B,7155,BRD-K13843533
PDE5A,8654,BRD-K13926615
PDE6G,5148,BRD-K13926615
PDE6H,5149,BRD-K13926615
IDE,3416,BRD-K14079729
CHRM3,1131,BRD-K14127446
CHRM4,1132,BRD-K14127446
DPP4,1803,BRD-K14171291
DDC,1644,BRD-K14349461
PDXK,8566,BRD-K14349461
ADORA1,134,BRD-K14395568
ADORA2A,135,BRD-K14395568
ADORA2B,136,BRD-K14395568
ADORA3,140,BRD-K14395568
ADRA1A,148,BRD-K14496212
ADRA1B,147,BRD-K14496212
ADRA1D,146,BRD-K14496212
ADRA2A,150,BRD-K14496212
ADRA2B,151,BRD-K14496212
ADRA2C,152,BRD-K14496212
DRD1,1812,BRD-K14496212
DRD2,1813,BRD-K14496212
DRD3,1814,BRD-K14496212
DRD4,1815,BRD-K14496212
DRD5,1816,BRD-K14496212
HTR1A,3350,BRD-K14496212
HTR1B,3351,BRD-K14496212
HTR1D,3352,BRD-K14496212
HTR2A,3356,BRD-K14496212
HTR2B,3357,BRD-K14496212
HTR2C,3358,BRD-K14496212
HTR6,3362,BRD-K14496212
HTR7,3363,BRD-K14496212
PGR,5241,BRD-K14619660
OPRD1,4985,BRD-K14681867
OPRM1,4988,BRD-K14681867
SSTR1,6751,BRD-K14681867
SSTR2,6752,BRD-K14681867
SSTR3,6753,BRD-K14681867
SSTR4,6754,BRD-K14681867
SSTR5,6755,BRD-K14681867
GABRA1,2554,BRD-K14993104
HRH1,3269,BRD-K15010214
PLG,5340,BRD-K15014948
CMPK1,51727,BRD-K15108141
RRM1,6240,BRD-K15108141
RRM2,6241,BRD-K15108141
TYMS,7298,BRD-K15108141
PSMA1,5682,BRD-K15179879
PSMA2,5683,BRD-K15179879
PSMA3,5684,BRD-K15179879
PSMA4,5685,BRD-K15179879
PSMA5,5686,BRD-K15179879
PSMA6,5687,BRD-K15179879
PSMA7,5688,BRD-K15179879
PSMA8,143471,BRD-K15179879
PSMB1,5689,BRD-K15179879
PSMB10,5699,BRD-K15179879
PSMB11,122706,BRD-K15179879
PSMB2,5690,BRD-K15179879
PSMB3,5691,BRD-K15179879
PSMB4,5692,BRD-K15179879
PSMB5,5693,BRD-K15179879
PSMB6,5694,BRD-K15179879
PSMB7,5695,BRD-K15179879
PSMB8,5696,BRD-K15179879
PSMB9,5698,BRD-K15179879
PPARG,5468,BRD-K15231341
AR,367,BRD-K15360631
ESR1,2099,BRD-K15360631
ESR2,2100,BRD-K15360631
ADRA1A,148,BRD-K15380626
ADRA1B,147,BRD-K15380626
ADRA1D,146,BRD-K15380626
ADRA2A,150,BRD-K15380626
ADRA2B,151,BRD-K15380626
DRD1,1812,BRD-K15380626
DRD2,1813,BRD-K15380626
DRD5,1816,BRD-K15380626
HTR1A,3350,BRD-K15380626
HTR1B,3351,BRD-K15380626
HTR1D,3352,BRD-K15380626
HTR1E,3354,BRD-K15380626
HTR1F,3355,BRD-K15380626
HTR2A,3356,BRD-K15380626
HTR2B,3357,BRD-K15380626
HTR2C,3358,BRD-K15380626
HTR5A,3361,BRD-K15380626
HTR6,3362,BRD-K15380626
SLC6A2,6530,BRD-K15380626
CACNA1G,8913,BRD-K15409150
PTGS2,5743,BRD-K15426076
CYP1A2,1544,BRD-K15502390
CYP2A6,1548,BRD-K15502390
CYP2B6,1555,BRD-K15502390
CYP2C9,1559,BRD-K15502390
CYP2D6,1565,BRD-K15502390
CYP3A4,1576,BRD-K15502390
CYP3A5,1577,BRD-K15502390
AQP9,366,BRD-K15563106
CLCN3,1182,BRD-K15563106
SLC23A1,9963,BRD-K15563106
PDE10A,10846,BRD-K15567136
PDE4B,5142,BRD-K15567136
PDE5A,8654,BRD-K15567136
AKR1C2,1646,BRD-K15697815
NR1H4,9971,BRD-K15697815
MPO,4353,BRD-K15766189
CYP3A4,1576,BRD-K15916496
KCNN4,3783,BRD-K15916496
NR1I2,8856,BRD-K15916496
NR1I3,9970,BRD-K15916496
TRPM2,7226,BRD-K15916496
TRPM4,54795,BRD-K15916496
TRPM8,79054,BRD-K15916496
ADRA2A,150,BRD-K15933101
ADRA2B,151,BRD-K15933101
ADRA2C,152,BRD-K15933101
DRD1,1812,BRD-K15933101
DRD2,1813,BRD-K15933101
DRD3,1814,BRD-K15933101
DRD4,1815,BRD-K15933101
DRD5,1816,BRD-K15933101
HTR1A,3350,BRD-K15933101
HTR1B,3351,BRD-K15933101
HTR1D,3352,BRD-K15933101
HTR2A,3356,BRD-K15933101
HTR2B,3357,BRD-K15933101
HTR2C,3358,BRD-K15933101
PTGS1,5742,BRD-K16077845
PTGS2,5743,BRD-K16077845
KCNQ1,3784,BRD-K16136380
KCNQ2,3785,BRD-K16136380
KCNQ4,9132,BRD-K16136380
KCNQ5,56479,BRD-K16136380
ADRA1A,148,BRD-K16195444
ADRA1B,147,BRD-K16195444
ADRA1D,146,BRD-K16195444
ADRA2A,150,BRD-K16195444
ADRA2B,151,BRD-K16195444
ADRA2C,152,BRD-K16195444
HTR1B,3351,BRD-K16195444
HTR1D,3352,BRD-K16195444
HTR2C,3358,BRD-K16195444
IL1B,3553,BRD-K16444452
IL6,3569,BRD-K16444452
PDE3A,5139,BRD-K16444452
PDE4A,5141,BRD-K16444452
PDE4B,5142,BRD-K16444452
PDE4C,5143,BRD-K16444452
PDE4D,5144,BRD-K16444452
PDE5A,8654,BRD-K16444452
CHRM2,1129,BRD-K16484091
CHRNA2,1135,BRD-K16484091
HSPA1A,3303,BRD-K16546375
HSPB1,3315,BRD-K16546375
CACNA1G,8913,BRD-K16606819
CACNA1H,8912,BRD-K16606819
CACNA1I,8911,BRD-K16606819
ABL1,25,BRD-K16730910
BRAF,673,BRD-K16730910
DDR2,4921,BRD-K16730910
EPHA2,1969,BRD-K16730910
FGFR1,2260,BRD-K16730910
FGFR2,2263,BRD-K16730910
FLT1,2321,BRD-K16730910
FLT4,2324,BRD-K16730910
FRK,2444,BRD-K16730910
KDR,3791,BRD-K16730910
KIT,3815,BRD-K16730910
MAPK11,5600,BRD-K16730910
NTRK1,4914,BRD-K16730910
PDGFRA,5156,BRD-K16730910
PDGFRB,5159,BRD-K16730910
RAF1,5894,BRD-K16730910
RET,5979,BRD-K16730910
TEK,7010,BRD-K16730910
ESR1,2099,BRD-K17016787
ESR2,2100,BRD-K17016787
OPRK1,4986,BRD-K17075857
PTGS1,5742,BRD-K17219082
ACHE,43,BRD-K17294426
DRD2,1813,BRD-K17294426
ADRA1A,148,BRD-K17311468
HTR1E,3354,BRD-K17311468
TRPA1,8989,BRD-K17458574
CHRNA2,1135,BRD-K17498618
ADRB1,153,BRD-K17561142
CACNA1H,8912,BRD-K17561142
CACNA2D2,9254,BRD-K17561142
KCNA7,3743,BRD-K17561142
KCNH2,3757,BRD-K17561142
HDAC1,3065,BRD-K17743125
HDAC10,83933,BRD-K17743125
HDAC11,79885,BRD-K17743125
HDAC2,3066,BRD-K17743125
HDAC3,8841,BRD-K17743125
HDAC4,9759,BRD-K17743125
HDAC5,10014,BRD-K17743125
HDAC6,10013,BRD-K17743125
HDAC7,51564,BRD-K17743125
HDAC8,55869,BRD-K17743125
HDAC9,9734,BRD-K17743125
HPGDS,27306,BRD-K17849083
HRH1,3269,BRD-K17849083
PTGDR,5729,BRD-K17850764
PTGER1,5731,BRD-K17850764
PTGER3,5733,BRD-K17850764
PTGFR,5737,BRD-K17850764
TBXA2R,6915,BRD-K17850764
MAOA,4128,BRD-K17979676
CA1,759,BRD-K18131774
CA12,771,BRD-K18131774
CA13,377677,BRD-K18131774
CA14,23632,BRD-K18131774
CA2,760,BRD-K18131774
CA3,761,BRD-K18131774
CA4,762,BRD-K18131774
CA5A,763,BRD-K18131774
CA5B,11238,BRD-K18131774
CA6,765,BRD-K18131774
CA7,766,BRD-K18131774
CA9,768,BRD-K18131774
HSD11B1,3290,BRD-K18135438
NR1H4,9971,BRD-K18135438
ADRA1A,148,BRD-K18194590
ADRA1B,147,BRD-K18194590
ADRA1D,146,BRD-K18194590
ADRA2A,150,BRD-K18194590
ADRA2B,151,BRD-K18194590
ADRA2C,152,BRD-K18194590
ADRB1,153,BRD-K18194590
ADRB2,154,BRD-K18194590
ADRB3,155,BRD-K18194590
NR3C1,2908,BRD-K18207669
GRIN1,2902,BRD-K18324993
ADRA2A,150,BRD-K18423410
ADRA2B,151,BRD-K18423410
ADRA2C,152,BRD-K18423410
CYP1A2,1544,BRD-K18574842
CYP3A4,1576,BRD-K18574842
SLC22A6,9356,BRD-K18574842
FOLR2,2350,BRD-K18673820
FOLR3,2352,BRD-K18673820
SLC19A1,6573,BRD-K18673820
SLC46A1,113235,BRD-K18673820
DDC,1644,BRD-K18749874
MAOA,4128,BRD-K18779551
MAOB,4129,BRD-K18779551
CHRNA3,1136,BRD-K18855837
CHRNA4,1137,BRD-K18855837
CHRNA6,8973,BRD-K18855837
CHRNA7,1139,BRD-K18855837
ADRA1A,148,BRD-K18895904
ADRA1B,147,BRD-K18895904
ADRA2A,150,BRD-K18895904
ADRA2B,151,BRD-K18895904
ADRA2C,152,BRD-K18895904
ADRB1,153,BRD-K18895904
ADRB2,154,BRD-K18895904
ADRB3,155,BRD-K18895904
CHRM1,1128,BRD-K18895904
CHRM2,1129,BRD-K18895904
CHRM3,1131,BRD-K18895904
CHRM4,1132,BRD-K18895904
CHRM5,1133,BRD-K18895904
DRD1,1812,BRD-K18895904
DRD2,1813,BRD-K18895904
DRD3,1814,BRD-K18895904
DRD4,1815,BRD-K18895904
DRD5,1816,BRD-K18895904
GABRA1,2554,BRD-K18895904
GABRA2,2555,BRD-K18895904
GABRA3,2556,BRD-K18895904
GABRA4,2557,BRD-K18895904
GABRA5,2558,BRD-K18895904
GABRA6,2559,BRD-K18895904
GABRB1,2560,BRD-K18895904
GABRB2,2561,BRD-K18895904
GABRB3,2562,BRD-K18895904
GABRD,2563,BRD-K18895904
GABRE,2564,BRD-K18895904
GABRG1,2565,BRD-K18895904
GABRG2,2566,BRD-K18895904
GABRG3,2567,BRD-K18895904
GABRP,2568,BRD-K18895904
GABRQ,55879,BRD-K18895904
HRH1,3269,BRD-K18895904
HRH2,3274,BRD-K18895904
HRH4,59340,BRD-K18895904
HTR1A,3350,BRD-K18895904
HTR1B,3351,BRD-K18895904
HTR1D,3352,BRD-K18895904
HTR1E,3354,BRD-K18895904
HTR1F,3355,BRD-K18895904
HTR2A,3356,BRD-K18895904
HTR2B,3357,BRD-K18895904
HTR2C,3358,BRD-K18895904
HTR3A,3359,BRD-K18895904
HTR5A,3361,BRD-K18895904
HTR6,3362,BRD-K18895904
HTR7,3363,BRD-K18895904
ESR1,2099,BRD-K18910433
ESR2,2100,BRD-K18910433
GPER1,2852,BRD-K18910433
KCNMA1,3778,BRD-K18910433
NR1I2,8856,BRD-K18910433
ACHE,43,BRD-K18922609
PPARA,5465,BRD-K19111024
UGT1A9,54600,BRD-K19227686
DRD1,1812,BRD-K19352500
DRD2,1813,BRD-K19352500
DRD3,1814,BRD-K19352500
DRD4,1815,BRD-K19352500
DPP4,1803,BRD-K19416115
GRIA1,2890,BRD-K19456237
GRIA2,2891,BRD-K19456237
GRIA3,2892,BRD-K19456237
GRIA4,2893,BRD-K19456237
ADRA1A,148,BRD-K19462402
NR3C1,2908,BRD-K19507340
PGR,5241,BRD-K19507340
PTGS1,5742,BRD-K19515365
PTGS2,5743,BRD-K19515365
CKB,1152,BRD-K19615002
CKM,1158,BRD-K19615002
CKMT1A,548596,BRD-K19615002
CKMT2,1160,BRD-K19615002
GAMT,2593,BRD-K19615002
SLC6A8,6535,BRD-K19615002
EGFR,1956,BRD-K19687926
ERBB2,2064,BRD-K19687926
P2RY12,64805,BRD-K19706299
PPARD,5467,BRD-K19706299
PTGIR,5739,BRD-K19706299
KCNA5,3741,BRD-K19741547
NR3C2,4306,BRD-K19761926
SMO,6608,BRD-K19796430
HRH2,3274,BRD-K20075662
GRM5,2915,BRD-K20079257
SCN10A,6336,BRD-K20079257
SCN11A,11280,BRD-K20079257
SCN1A,6323,BRD-K20079257
SCN2A,6326,BRD-K20079257
SCN3A,6328,BRD-K20079257
SCN4A,6329,BRD-K20079257
SCN5A,6331,BRD-K20079257
SCN7A,6332,BRD-K20079257
SCN8A,6334,BRD-K20079257
SCN9A,6335,BRD-K20079257
GRIN1,2902,BRD-K20141153
GRIN2A,2903,BRD-K20141153
GRIN2B,2904,BRD-K20141153
GRIN2C,2905,BRD-K20141153
GRIN2D,2906,BRD-K20141153
GRIN3A,116443,BRD-K20141153
GRIN3B,116444,BRD-K20141153
SLC6A2,6530,BRD-K20141153
SLC6A3,6531,BRD-K20141153
SLC6A4,6532,BRD-K20141153
CHRNA2,1135,BRD-K20168442
MCL1,4170,BRD-K20313525
TYR,7299,BRD-K20313525
ADRA1A,148,BRD-K20372197
ADRA1B,147,BRD-K20372197
ADRA1D,146,BRD-K20372197
ADRA2A,150,BRD-K20372197
ADRA2B,151,BRD-K20372197
ADRA2C,152,BRD-K20372197
ADRB1,153,BRD-K20372197
ADRB2,154,BRD-K20372197
ADRB3,155,BRD-K20372197
PAH,5053,BRD-K20372197
AKR1C3,8644,BRD-K20482099
PDE3A,5139,BRD-K20745393
ESR1,2099,BRD-K20801936
ESR2,2100,BRD-K20801936
KCNMA1,3778,BRD-K20920669
S100P,6286,BRD-K20920669
MMP2,4313,BRD-K21045639
MMP9,4318,BRD-K21045639
PDE3A,5139,BRD-K21152241
KCNK10,54207,BRD-K21283037
KCNK2,3776,BRD-K21283037
KCNK4,50801,BRD-K21283037
KCNN4,3783,BRD-K21283037
SCN10A,6336,BRD-K21283037
SCN11A,11280,BRD-K21283037
SCN1A,6323,BRD-K21283037
SCN2A,6326,BRD-K21283037
SCN3A,6328,BRD-K21283037
SCN4A,6329,BRD-K21283037
SCN5A,6331,BRD-K21283037
SCN7A,6332,BRD-K21283037
SCN8A,6334,BRD-K21283037
SCN9A,6335,BRD-K21283037
SLC7A11,23657,BRD-K21283037
CA2,760,BRD-K21450440
NR3C1,2908,BRD-K21528677
PLA2G1B,5319,BRD-K21528677
SCN5A,6331,BRD-K21548250
ADRA2A,150,BRD-K21565985
ADRA2B,151,BRD-K21565985
ADRA2C,152,BRD-K21565985
AGTR1,185,BRD-K21586122
MMP12,4321,BRD-K21615095
TOP2A,7153,BRD-K21680192
ABL1,25,BRD-K21718444
AURKA,6790,BRD-K21718444
AURKB,9212,BRD-K21718444
FLT3,2322,BRD-K21718444
ELN,2006,BRD-K21733600
PTGS2,5743,BRD-K21733600
HRH1,3269,BRD-K21884483
SLC22A6,9356,BRD-K21913543
PTGS1,5742,BRD-K22031190
PTGS2,5743,BRD-K22031190
HMGCR,3156,BRD-K22134346
ITGB2,3689,BRD-K22134346
ALK,238,BRD-K22149900
FLT3,2322,BRD-K22149900
IGF1R,3480,BRD-K22149900
INSR,3643,BRD-K22149900
TSSK1B,83942,BRD-K22149900
HRH2,3274,BRD-K22421059
ALDH1A1,216,BRD-K22429181
ALDH1A2,8854,BRD-K22429181
ALDH1A3,220,BRD-K22429181
DHRS3,9249,BRD-K22429181
DHRS4,10901,BRD-K22429181
LRAT,9227,BRD-K22429181
NR2C2,7182,BRD-K22429181
RBP1,5947,BRD-K22429181
RBP3,5949,BRD-K22429181
RDH11,51109,BRD-K22429181
RDH12,145226,BRD-K22429181
RDH13,112724,BRD-K22429181
RDH14,57665,BRD-K22429181
RDH5,5959,BRD-K22429181
RDH8,50700,BRD-K22429181
RETSAT,54884,BRD-K22429181
RHO,6010,BRD-K22429181
RLBP1,6017,BRD-K22429181
RXRA,6256,BRD-K22429181
RXRB,6257,BRD-K22429181
RXRG,6258,BRD-K22429181
KCNA1,3736,BRD-K22482860
KCNA10,3744,BRD-K22482860
KCNA2,3737,BRD-K22482860
KCNA3,3738,BRD-K22482860
KCNA4,3739,BRD-K22482860
KCNA5,3741,BRD-K22482860
KCNA6,3742,BRD-K22482860
KCNA7,3743,BRD-K22482860
KCNB1,3745,BRD-K22482860
KCNB2,9312,BRD-K22482860
KCNC1,3746,BRD-K22482860
KCNC2,3747,BRD-K22482860
KCNC3,3748,BRD-K22482860
KCNC4,3749,BRD-K22482860
KCND1,3750,BRD-K22482860
KCND2,3751,BRD-K22482860
KCND3,3752,BRD-K22482860
KCNF1,3754,BRD-K22482860
KCNG1,3755,BRD-K22482860
KCNG2,26251,BRD-K22482860
KCNG3,170850,BRD-K22482860
KCNG4,93107,BRD-K22482860
KCNH1,3756,BRD-K22482860
KCNH2,3757,BRD-K22482860
KCNH3,23416,BRD-K22482860
KCNH4,23415,BRD-K22482860
KCNH5,27133,BRD-K22482860
KCNH6,81033,BRD-K22482860
KCNH7,90134,BRD-K22482860
KCNH8,131096,BRD-K22482860
KCNJ13,3769,BRD-K22482860
KCNJ5,3762,BRD-K22482860
KCNQ1,3784,BRD-K22482860
KCNQ2,3785,BRD-K22482860
KCNQ3,3786,BRD-K22482860
KCNQ4,9132,BRD-K22482860
KCNQ5,56479,BRD-K22482860
KCNS1,3787,BRD-K22482860
KCNS2,3788,BRD-K22482860
KCNS3,3790,BRD-K22482860
KCNV1,27012,BRD-K22482860
KCNV2,169522,BRD-K22482860
INS,3630,BRD-K22518984
HRH1,3269,BRD-K22556255
HRH1,3269,BRD-K22936972
SLC6A3,6531,BRD-K22936972
NEU2,4759,BRD-K23067689
AR,367,BRD-K23566484
TTR,7276,BRD-K23728141
TACR1,6869,BRD-K23848629
CA1,759,BRD-K23913458
CA12,771,BRD-K23913458
CA14,23632,BRD-K23913458
CA2,760,BRD-K23913458
CA4,762,BRD-K23913458
CA6,765,BRD-K23913458
CA9,768,BRD-K23913458
CYP2A6,1548,BRD-K23913458
PTGFR,5737,BRD-K23976833
BRAF,673,BRD-K23984367
DDR2,4921,BRD-K23984367
FGFR1,2260,BRD-K23984367
FLT1,2321,BRD-K23984367
FLT3,2322,BRD-K23984367
FLT4,2324,BRD-K23984367
KDR,3791,BRD-K23984367
KIT,3815,BRD-K23984367
PDGFRB,5159,BRD-K23984367
RAF1,5894,BRD-K23984367
RET,5979,BRD-K23984367
CACNA1C,775,BRD-K24023109
CACNA1S,779,BRD-K24023109
CACNA2D1,781,BRD-K24023109
CACNG1,786,BRD-K24023109
HTR3A,3359,BRD-K24023109
KCNA5,3741,BRD-K24023109
CYP17A1,1586,BRD-K24048528
SLC6A2,6530,BRD-K24219278
SLC6A4,6532,BRD-K24219278
ACHE,43,BRD-K24221957
BCHE,590,BRD-K24221957
NR3C1,2908,BRD-K24452555
GRIA1,2890,BRD-K24548560
PTPN1,5770,BRD-K24548560
CHRNA2,1135,BRD-K24616672
GRIN3A,116443,BRD-K24616672
HTR3A,3359,BRD-K24616672
KCNMA1,3778,BRD-K24616672
KCNMB1,3779,BRD-K24616672
KCNMB2,10242,BRD-K24616672
KCNMB3,27094,BRD-K24616672
KCNMB4,27345,BRD-K24616672
KCNN1,3780,BRD-K24616672
KCNN2,3781,BRD-K24616672
KCNN3,3782,BRD-K24616672
KCNN4,3783,BRD-K24616672
MAOA,4128,BRD-K24616672
MAOB,4129,BRD-K24616672
RYR1,6261,BRD-K24616672
RYR2,6262,BRD-K24616672
SCN10A,6336,BRD-K24616672
SLC6A3,6531,BRD-K24616672
DPYD,1806,BRD-K24844714
