moa,compound_id
adrenergic receptor antagonist,BRD-A41304429
bacterial DNA gyrase inhibitor,BRD-A41450521
cholesterol inhibitor,BRD-A41519720
niemann-pick c1-like 1 protein antagonist,BRD-A41519720
bacterial cell wall synthesis inhibitor,BRD-A41698174
DNA synthesis inhibitor,BRD-A42083487
adrenergic receptor antagonist,BRD-A42167015
protein synthesis inhibitor,BRD-A42379279
RNA polymerase inhibitor,BRD-A42383464
dihydroorotate dehydrogenase inhibitor,BRD-A42699921
antiprotozoal agent,BRD-A42759514
serotonin receptor antagonist,BRD-A42881122
adrenergic receptor antagonist,BRD-A43227343
adrenergic receptor antagonist,BRD-A43671941
antitussive,BRD-A43809092
ATP channel activator,BRD-A43882281
potassium channel activator,BRD-A43882281
monoamine oxidase inhibitor,BRD-A43974575
acetylcholine receptor antagonist,BRD-A43999749
histamine receptor antagonist,BRD-A44008656
cyclooxygenase inhibitor,BRD-A44090213
prostanoid receptor antagonist,BRD-A44090213
angiogenesis inhibitor,BRD-A44511856
apoptosis stimulant,BRD-A44511856
CCK receptor antagonist,BRD-A44863528
bacterial permeability inducer,BRD-A44942307
glucocorticoid receptor agonist,BRD-A45044890
prostanoid receptor agonist,BRD-A45153512
glucocorticoid receptor agonist,BRD-A45538101
radiopaque medium,BRD-A45543382
platelet aggregation inhibitor,BRD-A45664787
prostanoid receptor agonist,BRD-A45664787
NFkB pathway inhibitor,BRD-A45889380
TP53 activator,BRD-A45889380
cytokine production inhibitor,BRD-A45889380
cyclooxygenase inhibitor,BRD-A46136514
histamine receptor antagonist,BRD-A46335897
immunostimulant,BRD-A46393198
bacterial cell wall synthesis inhibitor,BRD-A46717658
acetylcholine receptor antagonist,BRD-A47449001
adrenergic receptor agonist,BRD-A47494775
selective serotonin reuptake inhibitor (SSRI),BRD-A47598013
bacterial DNA gyrase inhibitor,BRD-A47790386
acetylcholine receptor antagonist,BRD-A48180038
thrombin inhibitor,BRD-A48261811
GLP receptor agonist,BRD-A48274390
adrenergic receptor antagonist,BRD-A48420483
PPAR receptor agonist,BRD-A48430263
insulin sensitizer,BRD-A48430263
acetylcholine receptor antagonist,BRD-A48465967
protein synthesis inhibitor,BRD-A49035384
acetylcholinesterase inhibitor,BRD-A49160188
ATPase inhibitor,BRD-A49172652
PPAR receptor agonist,BRD-A49358627
bacterial cell wall synthesis inhibitor,BRD-A49374018
vasopressin receptor agonist,BRD-A49399758
glucocorticoid receptor agonist,BRD-A49447682
lactamase inhibitor,BRD-A49622760
glucocorticoid receptor agonist,BRD-A49765801
vitamin K antagonist,BRD-A49838158
adrenergic receptor agonist,BRD-A50157456
constitutive androstane receptor (CAR) agonist,BRD-A50311610
adrenergic receptor antagonist,BRD-A50675490
GABA gated chloride channel blocker,BRD-A50675702
chloride channel blocker,BRD-A50675702
DNA synthesis inhibitor,BRD-A50922295
angiotensin converting enzyme inhibitor,BRD-A51382177
potassium-competitive acid antagonist,BRD-A51497544
adrenergic receptor antagonist,BRD-A51747092
lanosterol demethylase inhibitor,BRD-A51820102
sterol demethylase inhibitor,BRD-A51820102
membrane permeability inhibitor,BRD-A51831848
antimalarial agent,BRD-A51964809
L-type calcium channel blocker,BRD-A52922642
bacterial permeability inducer,BRD-A52977603
anti-inflammatory agent,BRD-A53151380
angiogenesis inhibitor,BRD-A53566267
acetylcholine receptor antagonist,BRD-A53576514
adrenergic receptor antagonist,BRD-A53597562
cholinergic receptor antagonist,BRD-A53951045
local anesthetic,BRD-A53952395
acetylcholine receptor antagonist,BRD-A54234250
adrenergic receptor agonist,BRD-A54236247
sterol demethylase inhibitor,BRD-A54275602
monoamine oxidase inhibitor,BRD-A54490543
antitussive,BRD-A54635441
dopamine receptor antagonist,BRD-A55272860
endocrine disruptor,BRD-A55464252
guanylate cyclase activator,BRD-A55468767
muscle relaxant,BRD-A55469827
DNA inhibitor,BRD-A55913614
antimalarial agent,BRD-A55913614
ATPase inhibitor,BRD-A55962179
chelating agent,BRD-A56152450
adrenergic receptor antagonist,BRD-A56241705
leukotriene synthesis inhibitor,BRD-A56359832
lipoxygenase inhibitor,BRD-A56359832
acetylcholine receptor antagonist,BRD-A56613951
diuretic,BRD-A56675431
bacterial cell wall synthesis inhibitor,BRD-A56858165
proton pump inhibitor,BRD-A56892734
histamine receptor antagonist,BRD-A57133233
cyclooxygenase inhibitor,BRD-A57382968
T-type calcium channel blocker,BRD-A57592049
calcium channel blocker,BRD-A58048407
cholinergic receptor antagonist,BRD-A58193911
nematocide,BRD-A58564983
glucocorticoid receptor agonist,BRD-A59014912
adrenergic receptor agonist,BRD-A59174698
norepinephrine reuptake inhibitor,BRD-A59198242
thiazide diuretic,BRD-A59303141
cholesterol inhibitor,BRD-A59329714
potassium channel antagonist,BRD-A59378440
norepinephrine reuptake inhibitor,BRD-A59747053
serotonin reuptake inhibitor,BRD-A59747053
protein synthesis inhibitor,BRD-A59825838
dopamine receptor antagonist,BRD-A60197193
radiopaque medium,BRD-A60217728
anti-inflammatory agent,BRD-A60294240
capillary stabilizing agent,BRD-A60294240
prostanoid receptor antagonist,BRD-A60765580
tyrosine phosphatase inhibitor,BRD-A60786380
ATP channel blocker,BRD-A61154809
insulin secretagogue,BRD-A61154809
DOPA decarboxylase inhibitor,BRD-A61194565
progesterone receptor agonist,BRD-A61221616
enzyme inducer,BRD-A61676498
carbonic anhydrase inhibitor,BRD-A61793559
antioxidant,BRD-A61850409
bacterial 30S ribosomal subunit inhibitor,BRD-A62336573
acetylcholine receptor antagonist,BRD-A62421304
antihistamine,BRD-A62428732
glucocorticoid receptor agonist,BRD-A62731508
thioredoxin inhibitor,BRD-A62893078
glucosidase inhibitor,BRD-A63310107
beta lactamase inhibitor,BRD-A63431791
estrogen receptor agonist,BRD-A63433173
DNA directed DNA polymerase inhibitor,BRD-A63675168
sodium channel blocker,BRD-A64092382
somatostatin receptor agonist,BRD-A64173453
cyclooxygenase inhibitor,BRD-A64610707
acetylcholine receptor antagonist,BRD-A64698388
adrenergic receptor antagonist,BRD-A64977602
serotonin receptor antagonist,BRD-A64977602
acetylcholine receptor antagonist,BRD-A65013509
vitamin K antagonist,BRD-A65051990
acetylcholine receptor antagonist,BRD-A65243462
dopamine receptor antagonist,BRD-A65280694
cytochrome P450 inhibitor,BRD-A65449987
angiotensin receptor antagonist,BRD-A65671304
noradrenaline uptake inhibitor,BRD-A65683612
glucocorticoid receptor agonist,BRD-A65767837
radiopaque medium,BRD-A65818372
bacterial cell wall synthesis inhibitor,BRD-A66025870
choleretic agent,BRD-A66284731
proteasome inhibitor,BRD-A66419424
adrenergic receptor agonist,BRD-A66563878
benzodiazepine receptor agonist,BRD-A66920069
anthelmintic agent,BRD-A67060370
DNA alkylating agent,BRD-A67097164
radiopaque medium,BRD-A67181951
monoamine oxidase inhibitor,BRD-A67182178
bacterial 50S ribosomal subunit inhibitor,BRD-A67305656
bacterial DNA inhibitor,BRD-A67514145
histamine receptor antagonist,BRD-A67516570
adrenergic receptor antagonist,BRD-A67799922
adrenergic receptor antagonist,BRD-A67862938
dopamine reuptake inhibitor,BRD-A68304895
HCV inhibitor,BRD-A68493689
glucosamine synthetase stimulant,BRD-A68589262
histamine receptor antagonist,BRD-A68723818
histamine receptor antagonist,BRD-A68888262
bacterial 30S ribosomal subunit inhibitor,BRD-A68997559
aromatic L-amino acid decarboxylase inhibitor,BRD-A69512159
bacterial 30S ribosomal subunit inhibitor,BRD-A69651145
ribosomal protein inhibitor,BRD-A69651145
topoisomerase inhibitor,BRD-A69777949
acetylcholine receptor antagonist,BRD-A69917777
acetylcholinesterase inhibitor,BRD-A70083328
microtubule inhibitor,BRD-A70083328
cyclooxygenase inhibitor,BRD-A70182876
local anesthetic,BRD-A70514680
sterol demethylase inhibitor,BRD-A70649075
T-type calcium channel blocker,BRD-A70998768
vitamin B,BRD-A71157293
other antifungal,BRD-A71407503
cyclooxygenase inhibitor,BRD-A71725768
chitin inhibitor,BRD-A71774530
HMGCR inhibitor,BRD-A71816415
radiopaque medium,BRD-A72075775
mucolytic agent,BRD-A72212290
dopamine receptor agonist,BRD-A72309220
serotonin receptor antagonist,BRD-A72309220
prostanoid receptor agonist,BRD-A72351335
radiopaque medium,BRD-A72401848
GABA uptake inhibitor,BRD-A72441487
GABA receptor antagonist,BRD-A72603112
bacterial permeability inducer,BRD-A72711497
opioid receptor antagonist,BRD-A72767275
cyclooxygenase inhibitor,BRD-A72988804
histamine receptor antagonist,BRD-A73368467
glucocorticoid receptor agonist,BRD-A73385064
neurotransmitter,BRD-A73930134
potassium channel blocker,BRD-A74391928
cyclooxygenase inhibitor,BRD-A74667430
dihydrofolate reductase inhibitor,BRD-A74914197
bacterial DNA gyrase inhibitor,BRD-A74980173
cyclooxygenase inhibitor,BRD-A75224450
RNA synthesis inhibitor,BRD-A75479906
antiviral,BRD-A75479906
cyclooxygenase inhibitor,BRD-A75552914
adrenergic receptor agonist,BRD-A75726477
bacterial DNA gyrase inhibitor,BRD-A75850590
folate receptor ligand,BRD-A75919782
acetylcholine receptor antagonist,BRD-A75935363
coenzyme A precursor,BRD-A76244192
topical sunscreen agent,BRD-A76533773
bacterial cell wall synthesis inhibitor,BRD-A76661185
bacterial 50S ribosomal subunit inhibitor,BRD-A76672327
acetylcholine receptor antagonist,BRD-A77291778
analgesic agent,BRD-A77473570
bacterial 50S ribosomal subunit inhibitor,BRD-A77786295
fungal ergosterol inhibitor,BRD-A78080706
adrenergic receptor antagonist,BRD-A78134170
adrenergic receptor agonist,BRD-A78322124
adenosine receptor agonist,BRD-A78341343
bacterial cell wall synthesis inhibitor,BRD-A78723049
penicillin binding protein inhibitor,BRD-A78723049
cyclooxygenase inhibitor,BRD-A78877355
phosphodiesterase inhibitor,BRD-A79643124
acetylcholine receptor antagonist,BRD-A79672927
mTOR inhibitor,BRD-A79768653
glutamate receptor antagonist,BRD-A79803969
adrenergic receptor agonist,BRD-A79981887
sodium/potassium/chloride transporter inhibitor,BRD-A80017228
bacterial cell wall synthesis inhibitor,BRD-A80321291
topoisomerase inhibitor,BRD-A80805100
trace amine associated receptor agonist,BRD-A80871782
antitussive,BRD-A80908310
prostaglandin inhibitor,BRD-A81129465
acetylcholine receptor antagonist,BRD-A81233518
vasopressin receptor antagonist,BRD-A82035391
bacterial cell wall synthesis inhibitor,BRD-A82396632
antioxidant,BRD-A82892199
purinergic receptor antagonist,BRD-A83029242
thrombin inhibitor,BRD-A83644949
glucocorticoid receptor agonist,BRD-A83802939
hydantoin antiepileptic,BRD-A83937277
DNA inhibitor,BRD-A84020532
cyclooxygenase inhibitor,BRD-A84174393
calcium channel blocker,BRD-A84465106
dopamine receptor antagonist,BRD-A84481105
calcium sensitizer,BRD-A84575140
phosphodiesterase inhibitor,BRD-A84575140
calcium channel blocker,BRD-A84687895
muscle relaxant,BRD-A84907376
antioxidant,BRD-A85242401
oxytocin receptor antagonist,BRD-A85261566
chelating agent,BRD-A85295731
reducing agent,BRD-A85295731
cyclooxygenase inhibitor,BRD-A85548292
sodium/chloride cotransporter inhibitor,BRD-A85651701
estrogen receptor antagonist,BRD-A85667082
cyclooxygenase inhibitor,BRD-A86044036
acetylcholine receptor agonist,BRD-A86216746
