moa,compound_id
immunosuppressant,BRD-K53790871
sodium channel blocker,BRD-K53809807
rho associated kinase inhibitor,BRD-K53814070
dopamine receptor antagonist,BRD-K53857191
serotonin receptor antagonist,BRD-K53857191
serotonin receptor agonist,BRD-K53963539
serotonin receptor antagonist,BRD-K53963539
JAK inhibitor,BRD-K53972329
adrenergic receptor agonist,BRD-K54006094
dopamine receptor antagonist,BRD-K54094468
acetylcholinesterase inhibitor,BRD-K54208592
collagenase inhibitor,BRD-K54247840
melanin inhibitor,BRD-K54262262
serotonin receptor agonist,BRD-K54314721
acetylcholine receptor antagonist,BRD-K54316499
cyclooxygenase inhibitor,BRD-K54339150
antithyroid agent,BRD-K54416256
HIV integrase inhibitor,BRD-K54472332
cyclooxygenase inhibitor,BRD-K54496168
angiotensin converting enzyme inhibitor,BRD-K54529596
DNA synthesis inhibitor,BRD-K54634444
epoxide hydolase inhibitor,BRD-K54698528
norepinephrine reuptake inhibitor,BRD-K54759182
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K54759182
tricyclic antidepressant,BRD-K54759182
guanylyl cyclase inhibitor,BRD-K54770538
nitric oxide production inhibitor,BRD-K54770538
cyclooxygenase inhibitor,BRD-K54770957
DNA synthesis inhibitor,BRD-K54790157
mucolytic agent,BRD-K54838207
estrogen receptor agonist,BRD-K54847683
bacterial DNA gyrase inhibitor,BRD-K55034111
penicillin binding protein inhibitor,BRD-K55044200
GABA receptor modulator,BRD-K55055802
dopamine receptor antagonist,BRD-K55127134
bacterial 30S ribosomal subunit inhibitor,BRD-K55188888
penicillin binding protein inhibitor,BRD-K55191674
dihydropteroate synthase inhibitor,BRD-K55250441
bacterial permeability inducer,BRD-K55375480
dopamine receptor antagonist,BRD-K55468218
topoisomerase inhibitor,BRD-K55696337
adrenergic receptor antagonist,BRD-K55705469
immunosuppressant,BRD-K55847762
nitric oxide stimulant,BRD-K55853390
hydantoin antiepileptic,BRD-K55930204
histamine receptor antagonist,BRD-K55991142
bacterial cell wall synthesis inhibitor,BRD-K56104152
oxytocin receptor agonist,BRD-K56107812
vitamin analog,BRD-K56155962
DNA synthesis inhibitor,BRD-K56156805
RAF inhibitor,BRD-K56343971
vitamin D receptor agonist,BRD-K56429665
glucocorticoid receptor agonist,BRD-K56515112
bacterial cell wall synthesis inhibitor,BRD-K56542719
sodium channel blocker,BRD-K56558538
cholinesterase inhibitor,BRD-K56575995
GK0582 inhibitor,BRD-K56614220
dopamine receptor agonist,BRD-K56699285
serotonin receptor antagonist,BRD-K56699285
other antibiotic,BRD-K56735750
alcohol dehydrogenase inhibitor,BRD-K56810756
androgen receptor antagonist,BRD-K56851771
local anesthetic,BRD-K56940463
histamine receptor antagonist,BRD-K57033106
thrombin inhibitor,BRD-K57041787
antipruritic,BRD-K57179821
cyclooxygenase inhibitor,BRD-K57222227
antiviral,BRD-K57291914
antioxidant,BRD-K57305459
contrast agent,BRD-K57365211
RNA polymerase inhibitor,BRD-K57371763
dopamine receptor antagonist,BRD-K57432881
angiotensin converting enzyme inhibitor,BRD-K57545991
phosphodiesterase inhibitor,BRD-K57569181
oxidizing agent,BRD-K57631554
GABA receptor antagonist,BRD-K57718010
dopamine receptor antagonist,BRD-K57764956
cyclooxygenase inhibitor,BRD-K57853941
glucocorticoid receptor agonist,BRD-K57886322
serotonin reuptake inhibitor,BRD-K58010567
foxm1 inhibitor,BRD-K58049875
protein synthesis inhibitor,BRD-K58049875
monoamine oxidase inhibitor,BRD-K58114536
anti-inflammatory agent,BRD-K58148589
sodium/glucose cotransporter inhibitor,BRD-K58160573
mucolytic agent,BRD-K58262380
thymidylate synthase inhibitor,BRD-K58262659
diuretic,BRD-K58265391
bone resorption inhibitor,BRD-K58513245
fatty acid synthase inhibitor,BRD-K58736316
corticosteroid agonist,BRD-K58810291
lipase inhibitor,BRD-K59037100
lactamase inhibitor,BRD-K59045783
mucolytic agent,BRD-K59058747
HIV protease inhibitor,BRD-K59110290
cyclooxygenase inhibitor,BRD-K59197931
serine protease inhibitor,BRD-K59256312
adenosine reuptake inhibitor,BRD-K59273480
phosphodiesterase inhibitor,BRD-K59273480
bacterial 50S ribosomal subunit inhibitor,BRD-K59436580
dihydrofolate reductase inhibitor,BRD-K59456551
leukotriene synthesis inhibitor,BRD-K59574735
sodium channel blocker,BRD-K59632282
DNA alkylating agent,BRD-K59670716
DNA synthesis inhibitor,BRD-K59670716
somatostatin receptor agonist,BRD-K59715032
tubulin polymerization inhibitor,BRD-K59753975
breast cancer resistance protein inhibitor,BRD-K59866480
cholinergic receptor antagonist,BRD-K59895502
bacterial antifolate,BRD-K59983611
oxidizing agent,BRD-K59986511
other antibiotic,BRD-K60025295
angiotensin receptor antagonist,BRD-K60038276
antispasmodic,BRD-K60102752
GABA uptake inhibitor,BRD-K60160658
bone resorption inhibitor,BRD-K60212747
NAD precursor,BRD-K60237333
vitamin B,BRD-K60237333
carbamoyl phosphate synthase activator,BRD-K60240222
lymphocyte function-associated antigen negative modulator,BRD-K60265345
antiviral,BRD-K60369935
nitric oxide synthase stimulant,BRD-K60379054
Bruton's tyrosine kinase (BTK) inhibitor,BRD-K60421517
EGFR inhibitor,BRD-K60421517
fungal lanosterol demethylase inhibitor,BRD-K60443845
HMGCR inhibitor,BRD-K60511616
acetylcholinesterase inhibitor,BRD-K60567437
vitamin D receptor agonist,BRD-K60585088
glucocorticoid receptor agonist,BRD-K60640630
bacterial cell wall synthesis inhibitor,BRD-K60663764
tricyclic antidepressant,BRD-K60762818
dopamine receptor agonist,BRD-K60770992
PI3K inhibitor,BRD-K60866521
acetylcholine receptor antagonist,BRD-K60907894
DNA synthesis inhibitor,BRD-K61192372
thymidylate synthase inhibitor,BRD-K61192372
nitric oxide donor,BRD-K61230716
thyroid hormone stimulant,BRD-K61236135
sodium channel blocker,BRD-K61237927
opioid receptor agonist,BRD-K61250553
serotonin receptor agonist,BRD-K61337602
HDAC inhibitor,BRD-K61397605
ATPase inhibitor,BRD-K61443506
other antibiotic,BRD-K61443650
nucleoside reverse transcriptase inhibitor,BRD-K61452026
glucocorticoid receptor agonist,BRD-K61496577
topoisomerase inhibitor,BRD-K61717546
nucleoside reverse transcriptase inhibitor,BRD-K61868322
omega 3 fatty acid stimulant,BRD-K61937613
chloride channel antagonist,BRD-K61988078
tubulin polymerization inhibitor,BRD-K62008436
retinoid receptor agonist,BRD-K62012036
protein tyrosine kinase inhibitor,BRD-K62040061
prostaglandin inhibitor,BRD-K62050508
phosphodiesterase inhibitor,BRD-K62200014
antimalarial agent,BRD-K62213621
corticotropin releasing factor receptor antagonist,BRD-K62264492
glutamate receptor agonist,BRD-K62309135
glucocorticoid receptor agonist,BRD-K62310379
anticestodal agent,BRD-K62326629
bacterial antifolate,BRD-K62363391
bacterial DNA gyrase inhibitor,BRD-K62374253
BCL inhibitor,BRD-K62391742
bacterial cell wall synthesis inhibitor,BRD-K62607865
adrenergic inhibitor,BRD-K62676709
gonadotropin releasing factor hormone receptor agonist,BRD-K62685538
farnesyltransferase inhibitor,BRD-K62734952
adrenergic receptor agonist,BRD-K62736196
calcium channel blocker,BRD-K62737565
acetylcholine receptor antagonist,BRD-K62782754
calcium channel blocker,BRD-K62858456
melatonin receptor agonist,BRD-K62971431
calcium channel blocker,BRD-K62996583
bacterial DNA gyrase inhibitor,BRD-K63001556
adrenergic receptor agonist,BRD-K63126190
carbonic anhydrase activator,BRD-K63126190
neurotransmitter,BRD-K63126190
bacterial cell wall synthesis inhibitor,BRD-K63242551
lipase inhibitor,BRD-K63343048
DNA synthesis inhibitor,BRD-K63430059
NFkB pathway inhibitor,BRD-K63550407
sodium/potassium/chloride transporter inhibitor,BRD-K63630713
ATPase inhibitor,BRD-K63668566
dopamine receptor antagonist,BRD-K63675182
radical formation stimulant,BRD-K63712959
cholesterol inhibitor,BRD-K63736853
dehydrogenase inhibitor,BRD-K63750851
inositol monophosphatase inhibitor,BRD-K63750851
bradykinin receptor antagonist,BRD-K63772874
estrogen receptor agonist,BRD-K63794707
endothelin receptor antagonist,BRD-K63806092
estrogen receptor antagonist,BRD-K63828191
selective estrogen receptor modulator (SERM),BRD-K63828191
bacterial cell wall synthesis inhibitor,BRD-K63835048
guanylate cyclase stimulant,BRD-K63861289
EGFR inhibitor,BRD-K64052750
prostacyclin analog,BRD-K64054020
microtubule inhibitor,BRD-K64120610
progesterone receptor antagonist,BRD-K64381438
antiprotozoal agent,BRD-K64514229
dopamine receptor antagonist,BRD-K64557645
serotonin receptor antagonist,BRD-K64557645
dihydropteroate synthetase inhibitor,BRD-K64659768
histamine receptor antagonist,BRD-K64716392
glucocorticoid receptor agonist,BRD-K64862097
plasminogen activator inhibitor,BRD-K64931368
selective serotonin reuptake inhibitor (SSRI),BRD-K64973364
estrogen receptor agonist,BRD-K64984393
acetylcholine receptor antagonist,BRD-K64990126
progesterone receptor agonist,BRD-K64994968
prostaglandin inhibitor,BRD-K65059905
cyclooxygenase inhibitor,BRD-K65146499
angiotensin converting enzyme inhibitor,BRD-K65518078
cell division inducer,BRD-K65667145
nootropic agent,BRD-K65716359
phosphodiesterase inhibitor,BRD-K65781196
antiarrhythmic,BRD-K65866076
glucocorticoid receptor agonist,BRD-K65877271
serotonin receptor agonist,BRD-K65904673
nitric oxide synthase inhibitor,BRD-K65978409
AGE inhibitor,BRD-K65992024
mucolytic agent,BRD-K66035042
EGFR inhibitor,BRD-K66175015
acetylcholine receptor antagonist,BRD-K66206289
HMGCR inhibitor,BRD-K66296774
opioid receptor agonist,BRD-K66404838
opioid receptor antagonist,BRD-K66404838
topoisomerase inhibitor,BRD-K66412701
bacterial DNA gyrase inhibitor,BRD-K66615216
estrogen receptor agonist,BRD-K66766661
ribonucleotide reductase inhibitor,BRD-K66788707
chelating agent,BRD-K66808046
glucosidase inhibitor,BRD-K66850609
bacterial 50S ribosomal subunit inhibitor,BRD-K66876909
benzodiazepine receptor agonist,BRD-K66896751
histamine receptor antagonist,BRD-K66937583
phosphodiesterase inhibitor,BRD-K67017579
DNA synthesis inhibitor,BRD-K67043667
phosphodiesterase inhibitor,BRD-K67080878
bacterial cell wall synthesis inhibitor,BRD-K67100011
HDAC inhibitor,BRD-K67102207
coagulation factor inhibitor,BRD-K67121414
cholinesterase inhibitor,BRD-K67217586
radiopaque medium,BRD-K67261995
thromboxane receptor antagonist,BRD-K67277431
thromboxane synthase inhibitor,BRD-K67277431
PARG inhibitor,BRD-K67392463
HIV integrase inhibitor,BRD-K67463151
opioid receptor antagonist,BRD-K67511046
cyclooxygenase inhibitor,BRD-K67563174
serotonin receptor agonist,BRD-K67601717
histamine receptor antagonist,BRD-K67637637
dopamine receptor antagonist,BRD-K67783091
dopamine receptor agonist,BRD-K67943528
angiotensin converting enzyme inhibitor,BRD-K67966701
angiotensin receptor antagonist,BRD-K67977190
adrenergic receptor antagonist,BRD-K68075732
cannabinoid receptor agonist,BRD-K68095457
fungal squalene epoxidase inhibitor,BRD-K68132782
bacterial DNA inhibitor,BRD-K68188368
benzodiazepine receptor agonist,BRD-K68232413
adrenergic receptor agonist,BRD-K68264559
topoisomerase inhibitor,BRD-K68346641
PABA antagonist,BRD-K68379918
glutamate receptor antagonist,BRD-K68405354
opioid receptor antagonist,BRD-K68407436
bacterial cell wall synthesis inhibitor,BRD-K68432770
acetylcholine receptor antagonist,BRD-K68507560
prostanoid receptor antagonist,BRD-K68538666
antihypertensive agent,BRD-K68553471
cyclooxygenase inhibitor,BRD-K68558722
progesterone receptor agonist,BRD-K68620903
adrenergic receptor agonist,BRD-K68693535
coenzyme A precursor,BRD-K68764924
electrolyte reabsorption inhibitor,BRD-K68770713
acetylcholine receptor antagonist,BRD-K68804560
protein synthesis inhibitor,BRD-K68822425
platelet aggregation inhibitor,BRD-K68830460
dopamine receptor antagonist,BRD-K68867920
serotonin receptor antagonist,BRD-K68867920
dopamine receptor antagonist,BRD-K69116396
serotonin receptor antagonist,BRD-K69116396
interleukin inhibitor,BRD-K69122748
DNA alkylating agent,BRD-K69172251
DNA synthesis inhibitor,BRD-K69172251
CFTR channel agonist,BRD-K69236721
acetylcholine receptor antagonist,BRD-K69247067
synthetic estrogen,BRD-K69253806
tubulin polymerization inhibitor,BRD-K69280563
acetylcholine receptor antagonist,BRD-K69469734
leukotriene receptor antagonist,BRD-K69470111
dopamine receptor antagonist,BRD-K69600043
calcineurin inhibitor,BRD-K69608737
topoisomerase inhibitor,BRD-K69650333
cholinesterase inhibitor,BRD-K69688083
HMGCR inhibitor,BRD-K69726342
cyclooxygenase inhibitor,BRD-K69907333
vitamin B,BRD-K70246307
progesterone receptor agonist,BRD-K70264088
Bruton's tyrosine kinase (BTK) inhibitor,BRD-K70301465
selective serotonin reuptake inhibitor (SSRI),BRD-K70301876
DNA synthesis inhibitor,BRD-K70327167
glutamate receptor antagonist,BRD-K70330367
serotonin receptor agonist,BRD-K70358946
serotonin receptor antagonist,BRD-K70358946
EGFR inhibitor,BRD-K70401845
dopamine receptor antagonist,BRD-K70487031
VEGFR inhibitor,BRD-K70504253
histamine receptor antagonist,BRD-K70505054
adenosine receptor antagonist,BRD-K70507123
RNA polymerase inhibitor,BRD-K70578146
vitamin K antagonist,BRD-K70592963
adrenergic receptor antagonist,BRD-K70778732
serotonin receptor antagonist,BRD-K70778732
serotonin reuptake inhibitor,BRD-K70778732
cyclooxygenase inhibitor,BRD-K70924353
bacterial cell wall synthesis inhibitor,BRD-K70976396
bacterial 30S ribosomal subunit inhibitor,BRD-K71013094
bacterial cell wall synthesis inhibitor,BRD-K71026158
KIT inhibitor,BRD-K71035033
PDGFR tyrosine kinase receptor inhibitor,BRD-K71035033
SRC inhibitor,BRD-K71035033
hemostatic agent,BRD-K71055333
sterol demethylase inhibitor,BRD-K71058253
bacterial cell wall synthesis inhibitor,BRD-K71059170
ganglionic blocker,BRD-K71075093
carbonic anhydrase inhibitor,BRD-K71075609
norepinephrine reuptake inhibitor,BRD-K71103788
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K71103788
ribonucleotide reductase inhibitor,BRD-K71106091
dihydropteroate synthetase inhibitor,BRD-K71125014
acetylcholine receptor antagonist,BRD-K71125570
vitamin K antagonist,BRD-K71133585
leukotriene receptor antagonist,BRD-K71289571
acetylcholine receptor agonist,BRD-K71454870
glucocorticoid receptor agonist,BRD-K71487404
carbonic anhydrase inhibitor,BRD-K71499074
cyclooxygenase inhibitor,BRD-K71696703
platelet aggregation inhibitor,BRD-K71696703
thromboxane synthase inhibitor,BRD-K71696703
protein synthesis inhibitor,BRD-K71772032
carboxamide antiepileptic,BRD-K71799949
glutamate receptor agonist,BRD-K71822263
retinoid receptor agonist,BRD-K71879491
retinoid receptor ligand,BRD-K71879491
bacterial DNA gyrase inhibitor,BRD-K71926323
atherogenesis inhibitor,BRD-K72029282
antiviral,BRD-K72093121
serotonin receptor agonist,BRD-K72166146
bacterial cell wall synthesis inhibitor,BRD-K72167406
5 alpha reductase inhibitor,BRD-K72215350
angiotensin converting enzyme inhibitor,BRD-K72222507
sodium channel blocker,BRD-K72259270
bacterial cell wall synthesis inhibitor,BRD-K72339976
topoisomerase inhibitor,BRD-K72533376
bone resorption inhibitor,BRD-K72542090
sodium channel blocker,BRD-K72723676
bacterial DNA inhibitor,BRD-K72728560
nucleoside reverse transcriptase inhibitor,BRD-K72903603
HCV inhibitor,BRD-K72912098
analgesic agent,BRD-K72915123
nitric oxide donor,BRD-K72922393
other antifungal,BRD-K72925150
DNA inhibitor,BRD-K72951360
topoisomerase inhibitor,BRD-K72951360
glucocorticoid receptor agonist,BRD-K72992801
adrenergic receptor agonist,BRD-K73027814
vasopressin receptor agonist,BRD-K73028949
acetylcholine receptor agonist,BRD-K73107279
potassium channel activator,BRD-K73109821
adrenergic receptor antagonist,BRD-K73196317
vitamin D receptor agonist,BRD-K73237276
adrenergic receptor agonist,BRD-K73381542
local anesthetic,BRD-K73391359
bacterial 30S ribosomal subunit inhibitor,BRD-K73425385
vasopressin receptor agonist,BRD-K73451719
DNA inhibitor,BRD-K73469236
thrombin inhibitor,BRD-K73504359
antioxidant,BRD-K73529671
cyclooxygenase inhibitor,BRD-K73541271
histamine receptor antagonist,BRD-K73589491
dopamine receptor antagonist,BRD-K73642618
bacterial cell wall synthesis inhibitor,BRD-K73701464
calcium channel activator,BRD-K73838513
cytochrome P450 inhibitor,BRD-K73881242
bacterial DNA gyrase inhibitor,BRD-K73923631
reducing agent,BRD-K73947551
angiotensin receptor antagonist,BRD-K73999723
enzyme inducer,BRD-K74057164
heme oxygenase activators,BRD-K74057164
HIV protease inhibitor,BRD-K74117820
fungal squalene epoxidase inhibitor,BRD-K74141488
acetylcholine receptor agonist,BRD-K74186897
phosphodiesterase inhibitor,BRD-K74190368
phosphodiesterase inhibitor,BRD-K74195153
mediator release inhibitor,BRD-K74236708
adrenergic receptor antagonist,BRD-K74339692
acetylcholine receptor antagonist,BRD-K74363950
bacterial 50S ribosomal subunit inhibitor,BRD-K74501079
KIT inhibitor,BRD-K74514084
PDGFR tyrosine kinase receptor inhibitor,BRD-K74514084
VEGFR inhibitor,BRD-K74514084
non-nucleoside reverse transcriptase inhibitor,BRD-K74717603
protein synthesis inhibitor,BRD-K74759733
endothelin receptor antagonist,BRD-K74763371
carbonic anhydrase inhibitor,BRD-K74913225
uric acid diuretic,BRD-K75024268
cholinergic receptor agonist,BRD-K75037734
sodium channel blocker,BRD-K75089421
estrogen receptor agonist,BRD-K75097983
sodium channel blocker,BRD-K75250001
dopamine reuptake inhibitor,BRD-K75385383
serotonin reuptake inhibitor,BRD-K75385383
sodium channel blocker,BRD-K75466013
bone resorption inhibitor,BRD-K75527158
adrenergic receptor agonist,BRD-K75615183
dopamine receptor agonist,BRD-K75615183
dopamine receptor antagonist,BRD-K75641298
serotonin receptor antagonist,BRD-K75641298
serotonin receptor agonist,BRD-K75699339
antiseptic,BRD-K75855670
bone resorption inhibitor,BRD-K75864342
radiopaque medium,BRD-K75868704
serotonin receptor antagonist,BRD-K75958195
HMGCR inhibitor,BRD-K75958547
melanocortin receptor agonist,BRD-K75989555
neuraminidase inhibitor,BRD-K76011241
muscle relaxant,BRD-K76021681
dopamine receptor agonist,BRD-K76022557
HSP inhibitor,BRD-K76037122
angiotensin receptor antagonist,BRD-K76205745
local anesthetic,BRD-K76304753
gonadotropin releasing factor hormone receptor antagonist,BRD-K76315403
cytochrome P450 inhibitor,BRD-K76452401
bacterial DNA gyrase inhibitor,BRD-K76534306
neurokinin receptor antagonist,BRD-K76594255
anxiolytic,BRD-K76606751
acetylcholine receptor antagonist,BRD-K76609936
rho associated kinase inhibitor,BRD-K76617868
DNA directed DNA polymerase inhibitor,BRD-K76634210
DNA synthesis inhibitor,BRD-K76634210
protein synthesis inhibitor,BRD-K76674262
leucyl-tRNA synthetase inhibitor,BRD-K76713213
retinoid receptor agonist,BRD-K76723084
cyclooxygenase inhibitor,BRD-K76775527
adrenergic receptor antagonist,BRD-K76810206
nitric oxide precursor,BRD-K76811153
cyclooxygenase inhibitor,BRD-K76812510
opioid receptor agonist,BRD-K76812510
retinoid receptor agonist,BRD-K76841105
DNA inhibitor,BRD-K76927775
adrenergic receptor antagonist,BRD-K76953762
topoisomerase inhibitor,BRD-K77038618
bacterial cell wall synthesis inhibitor,BRD-K77073709
vitamin D receptor agonist,BRD-K77175907
adrenergic receptor antagonist,BRD-K77224738
laxative,BRD-K77258318
adrenergic receptor antagonist,BRD-K77474816
DNA polymerase inhibitor,BRD-K77484724
acetylcholine receptor antagonist,BRD-K77552740
glucocorticoid receptor agonist,BRD-K77554836
xanthine oxidase inhibitor,BRD-K77561571
acetylcholine receptor antagonist,BRD-K77564118
adrenergic receptor agonist,BRD-K77597856
EGFR inhibitor,BRD-K77625799
RET tyrosine kinase inhibitor,BRD-K77625799
VEGFR inhibitor,BRD-K77625799
adrenergic receptor agonist,BRD-K77641333
PKC inhibitor,BRD-K77685957
angiogenesis inhibitor,BRD-K77695569
imidazoline receptor agonist,BRD-K77771411
histamine receptor antagonist,BRD-K77821588
dopamine receptor antagonist,BRD-K77947974
tubulin polymerization inhibitor,BRD-K77987382
diuretic,BRD-K78010432
topoisomerase inhibitor,BRD-K78113049
mitochondrial DNA polymerase inhibitor,BRD-K78126613
phosphatase inhibitor,BRD-K78126613
methyltransferase stimulant,BRD-K78185697
phosphodiesterase inhibitor,BRD-K78185697
other antifungal,BRD-K78321730
bacterial 30S ribosomal subunit inhibitor,BRD-K78355918
bacterial cell wall synthesis inhibitor,BRD-K78364995
ALK tyrosine kinase receptor inhibitor,BRD-K78431006
angiotensin receptor antagonist,BRD-K78485176
glucokinase inhibitor,BRD-K78513633
dopamine receptor antagonist,BRD-K78643075
proteasome inhibitor,BRD-K78659596
adrenergic receptor agonist,BRD-K78666826
PDGFR tyrosine kinase receptor inhibitor,BRD-K78692225
dihydroorotate dehydrogenase inhibitor,BRD-K78692225
aromatic L-amino acid decarboxylase inhibitor,BRD-K78712176
calcium channel blocker,BRD-K78781788
CCK receptor agonist,BRD-K78789465
cyclooxygenase inhibitor,BRD-K78815826
DNA inhibitor,BRD-K78960041
bacterial DNA inhibitor,BRD-K79092138
sodium channel blocker,BRD-K79116891
radiopaque medium,BRD-K79124250
tubulin polymerization inhibitor,BRD-K79131256
bacterial DNA inhibitor,BRD-K79145628
DNA methyltransferase inhibitor,BRD-K79254416
gamma butyrobetaine hydroxylase inhibitor,BRD-K79392608
dopamine receptor antagonist,BRD-K79425933
methyltransferase inhibitor,BRD-K79437791
histamine receptor modulator,BRD-K79501723
insulin sensitizer,BRD-K79602928
neurotrophic agent,BRD-K79612754
bacterial 50S ribosomal subunit inhibitor,BRD-K79711234
phosphodiesterase inhibitor,BRD-K79759585
antacid,BRD-K80043866
cyclooxygenase inhibitor,BRD-K80076813
potassium channel blocker,BRD-K80262108
cyclooxygenase inhibitor,BRD-K80267133
cytochrome P450 inhibitor,BRD-K80353138
sulfonylurea,BRD-K80396088
adrenergic neuron blocker,BRD-K80419150
antacid,BRD-K80528473
protein phosphatase inhibitor,BRD-K80684056
SIRT activator,BRD-K80738081
cytochrome P450 inhibitor,BRD-K80738081
contrast agent,BRD-K80762071
psychoactive drug,BRD-K80859331
angiotensin receptor antagonist,BRD-K81074237
local anesthetic,BRD-K81092066
bacterial cell wall synthesis inhibitor,BRD-K81101512
acetylcholinesterase inhibitor,BRD-K81128206
analgesic agent,BRD-K81130846
adrenergic receptor antagonist,BRD-K81144366
calcium channel blocker,BRD-K81272440
prostaglandin synthesis inhibitor,BRD-K81326768
HDAC inhibitor,BRD-K81418486
bacterial 30S ribosomal subunit inhibitor,BRD-K81447180
acetylcholinesterase inhibitor,BRD-K81473089
Abl kinase inhibitor,BRD-K81528515
Bcr-Abl kinase inhibitor,BRD-K81528515
mineralocorticoid receptor antagonist,BRD-K81644801
prostacyclin analog,BRD-K81672972
glucocorticoid receptor agonist,BRD-K81709173
estrogen receptor agonist,BRD-K81839095
estrogenic hormone,BRD-K81839095
photosensitizing agent,BRD-K81849500
histamine receptor antagonist,BRD-K81855038
microtubule inhibitor,BRD-K81916719
analgesic agent,BRD-K81993098
selective serotonin reuptake inhibitor (SSRI),BRD-K82036761
myeloperoxidase inhibitor,BRD-K82103381
vasodilator,BRD-K82103381
acetylcholine receptor agonist,BRD-K82118441
nicotinic receptor agonist,BRD-K82118441
cyclooxygenase inhibitor,BRD-K82122102
panipenem uptake inhibitor,BRD-K82142815
other antifungal,BRD-K82143716
norepinephrine reuptake inhibitor,BRD-K82147103
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K82147103
progesterone receptor agonist,BRD-K82216340
nitric oxide stimulant,BRD-K82225283
NADPH inhibitor,BRD-K82236179
bacterial 30S ribosomal subunit inhibitor,BRD-K82240271
bacterial 50S ribosomal subunit inhibitor,BRD-K82240271
benzodiazepine receptor agonist,BRD-K82255054
adrenergic receptor agonist,BRD-K82343404
histamine receptor antagonist,BRD-K82357231
acetylcholine receptor agonist,BRD-K82381502
cyclooxygenase inhibitor,BRD-K82562631
PKC inhibitor,BRD-K82603084
neurotransmitter agonist,BRD-K82677201
adrenergic receptor antagonist,BRD-K82687598
histamine receptor antagonist,BRD-K82795137
insulin secretagogue,BRD-K82846253
HCV inhibitor,BRD-K82861010
vitamin D receptor agonist,BRD-K82928892
HMGCR inhibitor,BRD-K82941592
bacterial cell wall synthesis inhibitor,BRD-K82960980
phosphodiesterase inhibitor,BRD-K82967685
dipeptidyl peptidase inhibitor,BRD-K83003151
adenosine receptor antagonist,BRD-K83064458
angiotensin receptor antagonist,BRD-K83144676
bone formation stimulant,BRD-K83146339
bone resorption inhibitor,BRD-K83146339
sodium channel blocker,BRD-K83245588
histamine receptor antagonist,BRD-K83257731
serotonin receptor inverse agonist,BRD-K83405785
thrombin inhibitor,BRD-K83486494
anti-inflammatory agent,BRD-K83502127
cytokine production inhibitor,BRD-K83502127
antitussive,BRD-K83551379
monoamine oxidase inhibitor,BRD-K83597974
catechol O methyltransferase inhibitor,BRD-K83636919
tyrosine hydroxylase inhibitor,BRD-K83766205
serotonin receptor partial agonist,BRD-K83776863
retinoid receptor agonist,BRD-K83794243
topoisomerase inhibitor,BRD-K83794624
ion channel antagonist,BRD-K84011460
angiotensin receptor antagonist,BRD-K84091759
cyclooxygenase inhibitor,BRD-K84173274
bone resorption inhibitor,BRD-K84253429
acetylcholinesterase inhibitor,BRD-K84281997
anti-inflammatory agent,BRD-K84313779
carnitine palmitoyltransferase inhibitor,BRD-K84366268
DNA synthesis inhibitor,BRD-K84466663
T cell inhibitor,BRD-K84466663
insulin secretagogue,BRD-K84658672
melatonin receptor agonist,BRD-K84698278
serotonin receptor antagonist,BRD-K84698278
guanylate cyclase stimulant,BRD-K84783599
folic acid antagonist,BRD-K84810336
mTOR inhibitor,BRD-K84937637
calcium channel blocker,BRD-K84971356
HIV protease inhibitor,BRD-K84986517
serotonin receptor antagonist,BRD-K85046107
acetylcholine receptor agonist,BRD-K85090592
ATP channel blocker,BRD-K85119730
DNA polymerase inhibitor,BRD-K85146014
bacterial DNA gyrase inhibitor,BRD-K85307935
cyclooxygenase inhibitor,BRD-K85333151
acetylcholine receptor antagonist,BRD-K85337334
dopamine receptor antagonist,BRD-K85503079
serotonin receptor antagonist,BRD-K85503079
dehydropeptidase inhibitor,BRD-K85518562
benzodiazepine receptor agonist,BRD-K85554912
antiseptic,BRD-K85603128
aldose reductase inhibitor,BRD-K85693895
bacterial DNA inhibitor,BRD-K85757157
adenosine receptor agonist,BRD-K85767870
beta lactamase inhibitor,BRD-K85882401
glucocorticoid receptor agonist,BRD-K85883481
nucleoside reverse transcriptase inhibitor,BRD-K85925969
tubulin polymerization inhibitor,BRD-K86003836
glucocorticoid receptor agonist,BRD-K86161929
sterol demethylase inhibitor,BRD-K86204871
phosphodiesterase inhibitor,BRD-K86301799
xanthine oxidase inhibitor,BRD-K86307448
dopamine reuptake inhibitor,BRD-K86358349
serotonin reuptake inhibitor,BRD-K86358349
glycosyl transferase inhibitor,BRD-K86410485
monoamine oxidase inhibitor,BRD-K86434416
adrenergic receptor antagonist,BRD-K86436199
sodium channel blocker,BRD-K86864073
bacterial cell wall synthesis inhibitor,BRD-K86873305
dopamine receptor agonist,BRD-K86882815
potassium channel blocker,BRD-K86887724
DNA directed DNA polymerase inhibitor,BRD-K86892782
monoamine oxidase inhibitor,BRD-K87024524
antithyroid agent,BRD-K87156652
FABI inhibitor,BRD-K87202646
bacterial cell wall synthesis inhibitor,BRD-K87226815
benzodiazepine receptor ligand,BRD-K87349602
adrenergic receptor agonist,BRD-K87349682
dihydrofolate reductase inhibitor,BRD-K87492696
topoisomerase inhibitor,BRD-K87595680
adenosine receptor antagonist,BRD-K87774949
